site,lat,lon
Newdegate,-33.1129,118.84
Rocky Gully South,-34.5714,117.0106
Bencubbin,-30.8081,117.8603
Corrigin,-32.3292,117.8733
Ravensthorpe,-33.5803,120.0458
Kalgoorlie-Boulder,-30.7847,121.4533
Esperance,-33.83,121.8925
Windy Harbour,-34.8373,116.026
Katanning RS,-33.6856,117.6064
Eyre,-32.2464,126.3008
Eucla,-31.6797,128.8958
Millendon (Swan Valley),-31.8112,116.0227
Albany,-35.0289,117.8808
Albany Airport,-34.9411,117.8158
Truscott,-14.09,126.3867
Broome Port,-18.0015,122.2176
Derby,-17.3706,123.6611
Yampi Sound (Defence),-16.7671,123.981
Wyndham Airport,-15.51,128.1503
Varanus Island,-20.655,115.5769
Barrow Island,-20.874,115.4066
Onslow Airport,-21.6689,115.1092
Karratha,-20.7097,116.7742
Marble Bar,-21.1756,119.7497
Shark Bay Airport,-25.8925,113.5772
Wiluna Airport,-26.6273,120.2195
Leinster,-27.8386,120.7031
Jurien Bay,-30.3081,115.0311
Busselton Jetty,-33.6294,115.3383
Hillarys Point Boat Harbour,-31.8256,115.7386
Garden Island,-32.2433,115.6839
Lancelin (Defence),-30.8392,115.2283
Bickley,-32.0072,116.1369
Busselton Airport,-33.6818,115.4026
Gingin Airport,-31.4628,115.8642
Karnet,-32.4389,116.0789
Beverley,-32.1083,116.9247
Pingelly,-32.5336,117.0831
Melville Water,-31.9889,115.8311
Collie East,-33.3608,116.1717
Donnybrook,-33.5719,115.8247
Merredin,-31.4756,118.2789
Cunderdin Airport,-31.6219,117.2217
Hyden,-32.4419,118.8983
Dalwallinu,-30.2761,116.6714
Bridgetown,-33.9486,116.1311
Southern Cross Airport,-31.2353,119.3564
Hopetoun North,-33.9306,120.1283
Jacup,-33.8878,119.1092
Lake Grace,-33.1006,118.4647
Esperance Airport,-33.6825,121.8275
Salmon Gums RS,-32.9869,121.6239
Wandering,-32.6722,116.6706
Witchcliffe West,-34.0258,115.0637
Norseman Airport,-32.2147,121.7547
Munglinup West,-33.5547,120.6997
Forrest,-30.8453,128.1092
Walpole North,-34.9469,116.7222
Esperance Harbour,-33.8707,121.8971
Christmas Island,-10.4515,105.689
Cocos Island,-12.1892,96.8344
Koolan Island / Koolan Central,-16.1242,123.7364
Lombadina,-16.5159,122.922
Solomon Airport,-22.2547,117.847
Armament Jetty,-32.1758,115.6808
Colpoys Point,-32.2272,115.6994
Coondewanna,-22.965,118.8089
Barimunya,-22.6719,119.1628
Iron Bridge Mine,-21.2838,118.8811
Golden Grove,-28.7647,116.9694
Mount Keith,-27.2856,120.5547
Eliwana Airport,-22.4281,116.8867
Gudai-Darri Mine,-22.5055,119.0728
Fortescue Dave Forrest,-22.29,119.4344
Christmas Creek,-22.3562,119.6497
Ernabella/Pukatja,-26.2635,132.1771
Oodnadatta,-27.5553,135.4456
Adelaide (West Terrace /  ngayirdapira),-34.9257,138.5832
Nullarbor,-31.4492,130.8976
Ceduna,-32.1297,133.6976
